jahr,klasse_ch,projekttyp,forschungsstaette,finanzquelle,finanzbeitrag
2015,1,"FE","HES-SO","Andere Bund",104884.00
2015,1,"FE","HES-SO","BFE",149316.00
2015,1,"FE","HES-SO","KTI",915511.04
2015,1,"FE","HES-SO","Kantone",5781995.54
2015,1,"FE","HES-SO","SBFI",493808.50
2015,1,"FE","HES-SO","SNF",345674.00
2015,1,"FE","PSI","BFE",558562.00
2015,1,"FE","PSI","ETH-Rat",20994662.74
2015,1,"FE","PSI","EU",813344.00
2015,1,"FE","PSI","KTI",1178101.03
2015,1,"FE","PSI","SNF",729159.41
2015,1,"FE","Privat","Andere Bund",690848.55
2015,1,"FE","Privat","BFE",3247097.10
2015,1,"FE","Privat","EU",414447.49
2015,1,"FE","Privat","KTI",165570.00
2015,1,"FE","Privat","SBFI",518042.00
2015,1,"FE","Privat","SNF",129891.79
2015,1,"FE","SUPSI","ETH-Rat",659.09
2015,1,"FE","SUPSI","KTI",381432.40
2015,1,"FE","SUPSI","Kantone",147203.76
2015,1,"FE","SUPSI","SNF",63909.93
2015,1,"FE","USI","KTI",237613.12
2015,1,"FE","USI","Kantone",250176.75
2015,1,"FE","UniBE","KTI",220869.00
2015,1,"FE","UniBE","Kantone",248477.56
2015,1,"FE","UniBS","Andere Bund",140000.00
2015,1,"FE","UniBS","Kantone",299196.94
2015,1,"FE","UniFR","KTI",169185.65
2015,1,"FE","UniFR","Kantone",564899.60
2015,1,"FE","UniFR","SNF",369514.17
2015,1,"FE","UniGE","BFE",90319.00
2015,1,"FE","UniGE","KTI",417650.33
2015,1,"FE","UniGE","Kantone",837414.99
2015,1,"FE","UniZH","BFE",44228.00
2015,1,"FE","UniZH","Kantone",108640.86
2015,1,"FE","ZFH","BFE",46000.00
2015,1,"FE","ZFH","KTI",2065630.20
2015,1,"FE","ZFH","Kantone",3432494.52
2015,1,"FE","ZFH","SNF",398301.15
2015,1,"PD","Bund","BFE",933794.69
2015,1,"PD","EMPA","BFE",1800000.00
2015,1,"PD","EMPA","ETH-Rat",74520.00
2015,1,"PD","EMPA","Kantone",3600000.00
2015,1,"PD","EPFL","BFE",420000.00
2015,1,"PD","EPFL","ETH-Rat",1861660.97
2015,1,"PD","EPFL","Kantone",741000.00
2015,1,"PD","ETHZ","BFE",37205.00
2015,1,"PD","ETHZ","ETH-Rat",5326987.11
2015,1,"PD","FHO","BFE",174000.00
2015,1,"PD","FHO","Kantone",16326.43
2015,1,"PD","FHZ","BFE",141120.00
2015,1,"PD","FHZ","Kantone",80457.20
2015,1,"PD","HES-SO","Kantone",204700.00
2015,1,"PD","Kanton","BFE",1115000.00
2015,1,"PD","Kanton","Kantone",7253075.00
2015,1,"PD","PSI","ETH-Rat",525800.00
2015,1,"PD","Privat","BFE",8660352.00
2015,1,"PD","Privat","EU",244428.00
2015,2,"FE","Ausland","BFE",185719.95
2015,2,"FE","BFH","BFE",56080.00
2015,2,"FE","BFH","KTI",371065.00
2015,2,"FE","BFH","Kantone",578005.74
2015,2,"FE","BFH","SNF",160227.39
2015,2,"FE","Bund","Andere Bund",130373.37
2015,2,"FE","Bund","BFE",633499.39
2015,2,"FE","Bund","EU",365913.00
2015,2,"FE","Bund","KTI",816840.68
2015,2,"FE","Bund","SBFI",64475.71
2015,2,"FE","Bund","SNF",344454.29
2015,2,"FE","CSEM","EU",242430.56
2015,2,"FE","CSEM","KTI",1746847.90
2015,2,"FE","CSEM","SBFI",4750000.00
2015,2,"FE","CSEM","SNF",100469.19
2015,2,"FE","EAWAG","ETH-Rat",226988.35
2015,2,"FE","EAWAG","KTI",138000.00
2015,2,"FE","EMPA","BFE",58700.00
2015,2,"FE","EMPA","ETH-Rat",14778316.65
2015,2,"FE","EMPA","EU",973489.00
2015,2,"FE","EMPA","KTI",188731.77
2015,2,"FE","EMPA","Kantone",116000.00
2015,2,"FE","EMPA","SBFI",950670.50
2015,2,"FE","EMPA","SNF",1438720.22
2015,2,"FE","EPFL","BFE",1455688.71
2015,2,"FE","EPFL","ETH-Rat",5490413.95
2015,2,"FE","EPFL","EU",1730130.95
2015,2,"FE","EPFL","KTI",2649030.80
2015,2,"FE","EPFL","Kantone",14958.63
2015,2,"FE","EPFL","SNF",3301426.84
2015,2,"FE","ETHZ","BFE",1079200.00
2015,2,"FE","ETHZ","ETH-Rat",8233984.73
2015,2,"FE","ETHZ","EU",295315.07
2015,2,"FE","ETHZ","KTI",2303435.56
2015,2,"FE","ETHZ","SNF",1607124.18
2015,2,"FE","FHNW","BFE",220810.00
2015,2,"FE","FHNW","KTI",403353.00
2015,2,"FE","FHNW","Kantone",398167.26
2015,2,"FE","FHO","BFE",1310846.00
2015,2,"FE","FHO","EU",487646.00
2015,2,"FE","FHO","KTI",1176447.29
2015,2,"FE","FHO","Kantone",1236363.80
2015,2,"FE","FHO","SNF",711748.42
2015,2,"FE","FHZ","BFE",139281.00
2015,2,"FE","FHZ","KTI",164410.00
2015,2,"FE","FHZ","Kantone",277476.07
2015,2,"FE","FHZ","SNF",122629.35
2015,2,"FE","HES-SO","BFE",253685.00
2015,2,"FE","HES-SO","ETH-Rat",281092.78
2015,2,"FE","HES-SO","EU",313613.00
2015,2,"FE","HES-SO","KTI",803785.00
2015,2,"FE","HES-SO","Kantone",4810782.92
2015,2,"FE","HES-SO","SNF",198912.50
2015,2,"FE","PSI","BFE",277500.00
2015,2,"FE","PSI","ETH-Rat",6978956.16
2015,2,"FE","PSI","EU",270188.00
2015,2,"FE","PSI","KTI",1508419.93
2015,2,"FE","PSI","SNF",93388.68
2015,2,"FE","Privat","BFE",2547256.95
2015,2,"FE","Privat","EU",844897.25
2015,2,"FE","Privat","SBFI",2281274.00
2015,2,"FE","Privat","SNF",69457.55
2015,2,"FE","SUPSI","BFE",159829.00
2015,2,"FE","SUPSI","EU",395284.00
2015,2,"FE","SUPSI","KTI",277145.72
2015,2,"FE","SUPSI","Kantone",489756.41
2015,2,"FE","SUPSI","SBFI",77519.50
2015,2,"FE","USI","KTI",115000.00
2015,2,"FE","USI","Kantone",120694.54
2015,2,"FE","UniBE","KTI",172500.00
2015,2,"FE","UniBE","Kantone",945871.12
2015,2,"FE","UniBE","SNF",332300.19
2015,2,"FE","UniBS","BFE",120000.00
2015,2,"FE","UniBS","Kantone",282614.38
2015,2,"FE","UniBS","SNF",12240.70
2015,2,"FE","UniFR","BFE",50000.00
2015,2,"FE","UniFR","Kantone",43311.64
2015,2,"FE","UniGE","KTI",230000.00
2015,2,"FE","UniGE","Kantone",378208.00
2015,2,"FE","UniLS","KTI",107182.30
2015,2,"FE","UniLS","Kantone",264995.00
2015,2,"FE","UniNE","BFE",64920.31
2015,2,"FE","UniNE","KTI",324780.00
2015,2,"FE","UniNE","Kantone",716641.07
2015,2,"FE","UniZH","Kantone",886278.41
2015,2,"FE","UniZH","SNF",360806.42
2015,2,"FE","WSL","ETH-Rat",434111.65
2015,2,"FE","WSL","KTI",373377.90
2015,2,"FE","WSL","SNF",280510.80
2015,2,"FE","ZFH","BFE",397320.00
2015,2,"FE","ZFH","KTI",560499.20
2015,2,"FE","ZFH","Kantone",2260037.85
2015,2,"FE","ZFH","SNF",274624.03
2015,2,"PD","Bund","BFE",306290.63
2015,2,"PD","EMPA","BFE",309538.00
2015,2,"PD","EMPA","ETH-Rat",1361974.66
2015,2,"PD","EPFL","ETH-Rat",2373000.00
2015,2,"PD","ETHZ","BFE",190117.00
2015,2,"PD","ETHZ","ETH-Rat",200694.57
2015,2,"PD","ETHZ","EU",82316.12
2015,2,"PD","FHNW","BFE",45150.00
2015,2,"PD","FHNW","Kantone",17697.71
2015,2,"PD","FHZ","Kantone",50000.00
2015,2,"PD","HES-SO","BFE",38120.00
2015,2,"PD","HES-SO","Kantone",233012.03
2015,2,"PD","PSI","BFE",55000.00
2015,2,"PD","PSI","ETH-Rat",1895300.00
2015,2,"PD","Privat","BFE",3339192.00
2015,2,"PD","Privat","EU",58875.09
2015,2,"PD","SUPSI","BFE",30000.00
2015,2,"PD","SUPSI","Kantone",7823.18
2015,2,"PD","UniGE","BFE",29000.00
2015,2,"PD","UniGE","Kantone",49324.27
2015,2,"PD","ZFH","BFE",14000.00
2015,2,"PD","ZFH","Kantone",19756.04
2015,3,"FE","Ausland","ENSI",622503.00
2015,3,"FE","Bund","BFE",19661.54
2015,3,"FE","Bund","SBFI",25624.14
2015,3,"FE","Bund","SNF",74086.46
2015,3,"FE","EMPA","ETH-Rat",93474.66
2015,3,"FE","EMPA","SBFI",59538.00
2015,3,"FE","EPFL","ETH-Rat",13852754.25
2015,3,"FE","EPFL","EU",6994518.00
2015,3,"FE","EPFL","SBFI",1292003.50
2015,3,"FE","EPFL","SNF",1949643.67
2015,3,"FE","ETHZ","ENSI",63200.00
2015,3,"FE","ETHZ","ETH-Rat",702128.04
2015,3,"FE","ETHZ","SBFI",182117.00
2015,3,"FE","PSI","ENSI",1456020.00
2015,3,"FE","PSI","ETH-Rat",18031515.50
2015,3,"FE","PSI","EU",1919436.00
2015,3,"FE","PSI","SBFI",440681.50
2015,3,"FE","Privat","EU",624398.84
2015,3,"FE","Privat","SBFI",1073979.50
2015,3,"FE","UniBE","BFE",59986.80
2015,3,"FE","UniBE","Kantone",336622.22
2015,3,"FE","UniBE","SBFI",154697.50
2015,3,"FE","UniBS","BFE",200000.00
2015,3,"FE","UniBS","Kantone",427424.20
2015,3,"PD","EPFL","ETH-Rat",267000.00
2015,3,"PD","Privat","EU",231873.24
2015,4,"FE","Ausland","BFE",209820.00
2015,4,"FE","Bund","Andere Bund",17877.02
2015,4,"FE","Bund","BFE",144345.03
2015,4,"FE","Bund","KTI",258757.03
2015,4,"FE","Bund","SBFI",5023.83
2015,4,"FE","Bund","SNF",138652.31
2015,4,"FE","EPFL","ETH-Rat",202814.40
2015,4,"FE","EPFL","KTI",168343.15
2015,4,"FE","ETHZ","BFE",168500.00
2015,4,"FE","ETHZ","ETH-Rat",3532248.16
2015,4,"FE","ETHZ","EU",105398.00
2015,4,"FE","ETHZ","KTI",1102745.30
2015,4,"FE","ETHZ","SNF",1209236.29
2015,4,"FE","FHZ","BFE",25930.00
2015,4,"FE","FHZ","Kantone",244776.77
2015,4,"FE","FHZ","SNF",119846.56
2015,4,"FE","HES-SO","BFE",70000.00
2015,4,"FE","HES-SO","Kantone",493760.40
2015,4,"FE","PSI","BFE",362619.56
2015,4,"FE","PSI","ETH-Rat",1357165.56
2015,4,"FE","PSI","EU",61146.00
2015,4,"FE","Privat","Andere Bund",220703.97
2015,4,"FE","Privat","BFE",761821.70
2015,4,"FE","Privat","SBFI",85148.00
2015,4,"FE","Privat","SNF",273467.34
2015,4,"FE","SUPSI","Kantone",150740.24
2015,4,"FE","SUPSI","SNF",91936.64
2015,4,"FE","UniBE","Kantone",579273.87
2015,4,"FE","UniBE","SNF",307136.01
2015,4,"FE","UniBS","BFE",85000.00
2015,4,"FE","UniBS","KTI",484715.22
2015,4,"FE","UniBS","Kantone",1485414.47
2015,4,"FE","UniBS","SNF",263242.43
2015,4,"FE","UniGE","BFE",85000.00
2015,4,"FE","UniGE","KTI",337250.61
2015,4,"FE","UniGE","Kantone",1750301.40
2015,4,"FE","UniGE","SNF",584135.19
2015,4,"FE","UniLS","Kantone",941162.35
2015,4,"FE","UniLS","SNF",227137.98
2015,4,"FE","UniLU","KTI",262040.00
2015,4,"FE","UniLU","Kantone",609328.65
2015,4,"FE","UniLU","SNF",66039.14
2015,4,"FE","UniNE","KTI",330120.00
2015,4,"FE","UniNE","Kantone",648912.60
2015,4,"FE","UniSG","BFE",90000.00
2015,4,"FE","UniSG","EU",91140.00
2015,4,"FE","UniSG","KTI",873572.83
2015,4,"FE","UniSG","Kantone",2377070.07
2015,4,"FE","UniSG","SBFI",452158.50
2015,4,"FE","UniSG","SNF",118010.46
2015,4,"FE","UniZH","BFE",20000.00
2015,4,"FE","UniZH","Kantone",700497.72
2015,4,"FE","UniZH","SBFI",90672.00
2015,4,"FE","UniZH","SNF",121739.94
2015,4,"FE","WSL","ETH-Rat",121595.52
2015,4,"FE","WSL","SNF",136624.18
2015,4,"FE","ZFH","BFE",30000.00
2015,4,"FE","ZFH","KTI",753830.00
2015,4,"FE","ZFH","Kantone",3111261.49
2015,4,"FE","ZFH","SNF",130192.76
2015,4,"PD","ETHZ","ETH-Rat",155000.00
2015,4,"PD","PSI","ETH-Rat",262900.00
2016,1,"FE","Ausland","BFE",85684.70
2016,1,"FE","BFH","Andere Bund",330805.00
2016,1,"FE","BFH","BFE",284762.00
2016,1,"FE","BFH","KTI",1500705.05
2016,1,"FE","BFH","Kantone",2325475.21
2016,1,"FE","Bund","Andere Bund",1144291.20
2016,1,"FE","Bund","BFE",547651.36
2016,1,"FE","Bund","EU",492772.53
2016,1,"FE","Bund","KTI",1562964.85
2016,1,"FE","Bund","SBFI",726606.37
2016,1,"FE","Bund","SNF",537230.89
2016,1,"FE","CSEM","KTI",1792886.40
2016,1,"FE","CSEM","SBFI",814188.50
2016,1,"FE","EMPA","BFE",432038.00
2016,1,"FE","EMPA","ETH-Rat",20134866.67
2016,1,"FE","EMPA","KTI",1945663.57
2016,1,"FE","EMPA","Kantone",258141.72
2016,1,"FE","EMPA","SNF",1079877.92
2016,1,"FE","EPFL","BFE",661737.25
2016,1,"FE","EPFL","ETH-Rat",8430439.62
2016,1,"FE","EPFL","EU",374303.95
2016,1,"FE","EPFL","KTI",3087681.85
2016,1,"FE","EPFL","SBFI",626532.00
2016,1,"FE","EPFL","SNF",3987662.69
2016,1,"FE","ETHZ","BFE",1267788.00
2016,1,"FE","ETHZ","ETH-Rat",16729452.17
2016,1,"FE","ETHZ","EU",728571.88
2016,1,"FE","ETHZ","KTI",5175811.70
2016,1,"FE","ETHZ","Kantone",270.00
2016,1,"FE","ETHZ","SBFI",582915.00
2016,1,"FE","ETHZ","SNF",3630620.57
2016,1,"FE","FHNW","BFE",220282.00
2016,1,"FE","FHNW","KTI",680194.85
2016,1,"FE","FHNW","Kantone",1677550.59
2016,1,"FE","FHNW","SNF",198019.94
2016,1,"FE","FHO","BFE",55732.00
2016,1,"FE","FHO","EU",173450.17
2016,1,"FE","FHO","KTI",2526501.27
2016,1,"FE","FHO","Kantone",1376559.63
2016,1,"FE","FHO","SBFI",349382.50
2016,1,"FE","FHZ","BFE",445658.00
2016,1,"FE","FHZ","KTI",2033566.42
2016,1,"FE","FHZ","Kantone",2818408.88
2016,1,"FE","FHZ","SNF",179148.32
2016,1,"FE","Gemeinde","BFE",11000.00
2016,1,"FE","HES-SO","Andere Bund",29420.65
2016,1,"FE","HES-SO","BFE",348950.00
2016,1,"FE","HES-SO","KTI",826040.00
2016,1,"FE","HES-SO","Kantone",3837554.04
2016,1,"FE","HES-SO","SNF",537022.32
2016,1,"FE","Kanton","BFE",35000.00
2016,1,"FE","PSI","BFE",418585.00
2016,1,"FE","PSI","ETH-Rat",14433324.85
2016,1,"FE","PSI","EU",147209.27
2016,1,"FE","PSI","KTI",1470453.06
2016,1,"FE","PSI","SNF",1365453.21
2016,1,"FE","Privat","Andere Bund",689272.10
2016,1,"FE","Privat","BFE",3433283.67
2016,1,"FE","Privat","EU",289438.48
2016,1,"FE","Privat","KTI",378068.40
2016,1,"FE","Privat","SBFI",1622450.50
2016,1,"FE","Privat","SNF",130085.09
2016,1,"FE","SUPSI","BFE",90000.00
2016,1,"FE","SUPSI","KTI",364354.59
2016,1,"FE","SUPSI","Kantone",142089.49
2016,1,"FE","SUPSI","SNF",86381.64
2016,1,"FE","USI","KTI",291700.15
2016,1,"FE","USI","Kantone",286545.27
2016,1,"FE","UniBE","KTI",233450.00
2016,1,"FE","UniBE","Kantone",323615.76
2016,1,"FE","UniBS","EU",287000.00
2016,1,"FE","UniBS","KTI",133497.00
2016,1,"FE","UniBS","Kantone",658907.18
2016,1,"FE","UniBS","SNF",184815.65
2016,1,"FE","UniFR","KTI",182324.45
2016,1,"FE","UniFR","Kantone",1051616.87
2016,1,"FE","UniFR","SNF",757357.74
2016,1,"FE","UniGE","BFE",90000.00
2016,1,"FE","UniGE","KTI",432812.51
2016,1,"FE","UniGE","Kantone",1529358.03
2016,1,"FE","UniGE","SNF",401038.58
2016,1,"FE","UniZH","BFE",50000.00
2016,1,"FE","UniZH","Kantone",288937.94
2016,1,"FE","UniZH","SNF",75081.36
2016,1,"FE","ZFH","BFE",323000.00
2016,1,"FE","ZFH","KTI",1753254.59
2016,1,"FE","ZFH","Kantone",3145063.81
2016,1,"FE","ZFH","SBFI",360559.50
2016,1,"FE","ZFH","SNF",490627.40
2016,1,"PD","BFH","BFE",493632.00
2016,1,"PD","BFH","Kantone",302983.50
2016,1,"PD","Bund","BFE",731347.25
2016,1,"PD","Bund","SBFI",15437.77
2016,1,"PD","Bund","SNF",3464.03
2016,1,"PD","CSEM","BFE",74520.00
2016,1,"PD","EMPA","BFE",100000.00
2016,1,"PD","EMPA","ETH-Rat",492201.16
2016,1,"PD","EMPA","Kantone",200000.00
2016,1,"PD","EPFL","BFE",900747.00
2016,1,"PD","EPFL","ETH-Rat",2182000.17
2016,1,"PD","ETHZ","ETH-Rat",2794771.44
2016,1,"PD","ETHZ","EU",98599.25
2016,1,"PD","ETHZ","SNF",84488.60
2016,1,"PD","FHNW","Kantone",18573.54
2016,1,"PD","FHO","Kantone",1415.98
2016,1,"PD","FHZ","Kantone",17752.65
2016,1,"PD","Gemeinde","BFE",133370.00
2016,1,"PD","Gemeinde","SBFI",90618.00
2016,1,"PD","HES-SO","BFE",100000.00
2016,1,"PD","HES-SO","Kantone",2344253.68
2016,1,"PD","HES-SO","SBFI",1067135.50
2016,1,"PD","Kanton","BFE",1000000.00
2016,1,"PD","Kanton","Kantone",6500407.63
2016,1,"PD","PSI","ETH-Rat",1653400.00
2016,1,"PD","Privat","BFE",8219661.00
2016,1,"PD","Privat","EU",20759.61
2016,1,"PD","Privat","Kantone",77481.71
2016,1,"PD","Privat","SBFI",541375.00
2016,1,"PD","SUPSI","Kantone",4017.86
2016,1,"PD","UniSG","Kantone",0.00
2016,1,"PD","UniSG","SBFI",230592.50
2016,1,"PD","ZFH","Kantone",35758.02
2016,2,"FE","Ausland","BFE",214828.29
2016,2,"FE","BFH","BFE",25000.00
2016,2,"FE","BFH","KTI",223355.00
2016,2,"FE","BFH","Kantone",500920.76
2016,2,"FE","BFH","SNF",174598.49
2016,2,"FE","Bund","Andere Bund",135272.21
2016,2,"FE","Bund","BFE",455629.60
2016,2,"FE","Bund","EU",508633.30
2016,2,"FE","Bund","KTI",856657.45
2016,2,"FE","Bund","SBFI",93888.09
2016,2,"FE","Bund","SNF",528080.88
2016,2,"FE","CSEM","EU",202578.97
2016,2,"FE","CSEM","KTI",1568956.30
2016,2,"FE","CSEM","SBFI",6293821.50
2016,2,"FE","CSEM","SNF",97187.64
2016,2,"FE","EAWAG","ETH-Rat",197319.05
2016,2,"FE","EAWAG","KTI",138000.00
2016,2,"FE","EMPA","BFE",174000.00
2016,2,"FE","EMPA","ETH-Rat",12992163.73
2016,2,"FE","EMPA","EU",236496.60
2016,2,"FE","EMPA","KTI",469929.00
2016,2,"FE","EMPA","Kantone",188000.00
2016,2,"FE","EMPA","SBFI",15000.00
2016,2,"FE","EMPA","SNF",1216593.34
2016,2,"FE","EPFL","BFE",1335014.00
2016,2,"FE","EPFL","ETH-Rat",11602617.62
2016,2,"FE","EPFL","EU",1196601.04
2016,2,"FE","EPFL","KTI",2895286.19
2016,2,"FE","EPFL","SBFI",1097432.50
2016,2,"FE","EPFL","SNF",4385907.49
2016,2,"FE","ETHZ","BFE",1055550.00
2016,2,"FE","ETHZ","ETH-Rat",13760042.57
2016,2,"FE","ETHZ","EU",454966.38
2016,2,"FE","ETHZ","KTI",2314412.66
2016,2,"FE","ETHZ","Kantone",8320.62
2016,2,"FE","ETHZ","SBFI",1348845.50
2016,2,"FE","ETHZ","SNF",2468805.45
2016,2,"FE","FHNW","BFE",248127.00
2016,2,"FE","FHNW","KTI",705140.95
2016,2,"FE","FHNW","Kantone",609854.36
2016,2,"FE","FHNW","SNF",92901.41
2016,2,"FE","FHO","BFE",913000.00
2016,2,"FE","FHO","EU",113081.98
2016,2,"FE","FHO","KTI",540514.07
2016,2,"FE","FHO","Kantone",806701.96
2016,2,"FE","FHO","SNF",519347.52
2016,2,"FE","FHZ","BFE",191942.00
2016,2,"FE","FHZ","KTI",526168.00
2016,2,"FE","FHZ","Kantone",604790.06
2016,2,"FE","FHZ","SBFI",0.00
2016,2,"FE","FHZ","SNF",116574.37
2016,2,"FE","Gemeinde","BFE",55000.00
2016,2,"FE","Gemeinde","SBFI",39184.50
2016,2,"FE","HES-SO","Andere Bund",92592.00
2016,2,"FE","HES-SO","BFE",233480.00
2016,2,"FE","HES-SO","ETH-Rat",106006.00
2016,2,"FE","HES-SO","EU",48092.11
2016,2,"FE","HES-SO","KTI",745410.00
2016,2,"FE","HES-SO","Kantone",3107828.30
2016,2,"FE","HES-SO","SBFI",138974.50
2016,2,"FE","HES-SO","SNF",206180.59
2016,2,"FE","Kanton","BFE",10000.00
2016,2,"FE","Kanton","SBFI",184820.50
2016,2,"FE","PSI","BFE",219308.00
2016,2,"FE","PSI","ETH-Rat",6034560.04
2016,2,"FE","PSI","EU",408655.66
2016,2,"FE","PSI","KTI",1613891.36
2016,2,"FE","PSI","SNF",178702.31
2016,2,"FE","Privat","BFE",1677418.36
2016,2,"FE","Privat","EU",651764.50
2016,2,"FE","Privat","SBFI",2617932.70
2016,2,"FE","Privat","SNF",66274.84
2016,2,"FE","SUPSI","BFE",93000.00
2016,2,"FE","SUPSI","EU",217663.65
2016,2,"FE","SUPSI","KTI",429661.66
2016,2,"FE","SUPSI","Kantone",576360.47
2016,2,"FE","SUPSI","SBFI",0.00
2016,2,"FE","USI","KTI",114785.00
2016,2,"FE","USI","Kantone",114656.23
2016,2,"FE","UniBE","KTI",172500.00
2016,2,"FE","UniBE","Kantone",1254022.81
2016,2,"FE","UniBE","SNF",645897.20
2016,2,"FE","UniBS","BFE",110000.00
2016,2,"FE","UniBS","Kantone",1043140.16
2016,2,"FE","UniBS","SNF",393932.44
2016,2,"FE","UniFR","Kantone",308761.52
2016,2,"FE","UniFR","SNF",305704.47
2016,2,"FE","UniGE","KTI",230000.00
2016,2,"FE","UniGE","Kantone",544256.01
2016,2,"FE","UniGE","SNF",163262.40
2016,2,"FE","UniLS","KTI",110380.00
2016,2,"FE","UniLS","Kantone",1126767.49
2016,2,"FE","UniLS","SNF",385627.77
2016,2,"FE","UniNE","KTI",218529.00
2016,2,"FE","UniNE","Kantone",586577.00
2016,2,"FE","UniNE","SNF",29594.78
2016,2,"FE","UniZH","Kantone",2015666.33
2016,2,"FE","UniZH","SNF",872582.83
2016,2,"FE","WSL","ETH-Rat",498653.13
2016,2,"FE","WSL","KTI",379926.00
2016,2,"FE","WSL","SNF",298591.18
2016,2,"FE","ZFH","BFE",310998.80
2016,2,"FE","ZFH","KTI",200892.10
2016,2,"FE","ZFH","Kantone",1431783.59
2016,2,"FE","ZFH","SNF",261755.02
2016,2,"PD","BFH","BFE",66000.00
2016,2,"PD","BFH","Kantone",107170.16
2016,2,"PD","Bund","BFE",431068.51
2016,2,"PD","Bund","SBFI",60545.18
2016,2,"PD","EMPA","BFE",1461603.00
2016,2,"PD","EMPA","ETH-Rat",1074516.96
2016,2,"PD","EMPA","SBFI",53615.00
2016,2,"PD","EPFL","ETH-Rat",1806276.04
2016,2,"PD","EPFL","SBFI",102085.50
2016,2,"PD","ETHZ","ETH-Rat",1832605.27
2016,2,"PD","ETHZ","EU",82541.64
2016,2,"PD","ETHZ","SBFI",1055722.50
2016,2,"PD","FHNW","BFE",282590.00
2016,2,"PD","FHNW","Kantone",1560.91
2016,2,"PD","FHO","BFE",95921.00
2016,2,"PD","FHO","Kantone",178993.11
2016,2,"PD","FHO","SBFI",651825.00
2016,2,"PD","FHZ","BFE",51280.00
2016,2,"PD","FHZ","Kantone",105912.00
2016,2,"PD","Gemeinde","SBFI",1348926.50
2016,2,"PD","HES-SO","BFE",45000.00
2016,2,"PD","HES-SO","Kantone",123843.83
2016,2,"PD","Kanton","Kantone",198933.30
2016,2,"PD","PSI","ETH-Rat",5786900.00
2016,2,"PD","Privat","BFE",4474119.00
2016,2,"PD","Privat","Kantone",382769.34
2016,2,"PD","Privat","SBFI",4355972.80
2016,2,"PD","SUPSI","BFE",15000.00
2016,2,"PD","SUPSI","Kantone",2250.00
2016,2,"PD","UniLS","Kantone",4832.62
2016,2,"PD","ZFH","BFE",5000.00
2016,2,"PD","ZFH","Kantone",12672.13
2016,3,"FE","Ausland","ENSI",610698.00
2016,3,"FE","Bund","BFE",17323.41
2016,3,"FE","Bund","EU",764.32
2016,3,"FE","Bund","SBFI",11413.02
2016,3,"FE","Bund","SNF",52691.50
2016,3,"FE","EMPA","ETH-Rat",0.00
2016,3,"FE","EMPA","SBFI",0.00
2016,3,"FE","EPFL","ETH-Rat",13977433.00
2016,3,"FE","EPFL","EU",7934953.00
2016,3,"FE","EPFL","SBFI",1346628.00
2016,3,"FE","EPFL","SNF",1220654.00
2016,3,"FE","ETHZ","ENSI",64972.00
2016,3,"FE","ETHZ","ETH-Rat",222272.24
2016,3,"FE","ETHZ","EU",17184.67
2016,3,"FE","ETHZ","SBFI",0.00
2016,3,"FE","Kanton","EU",17697.25
2016,3,"FE","PSI","ENSI",1246354.00
2016,3,"FE","PSI","ETH-Rat",22431673.69
2016,3,"FE","PSI","EU",740415.15
2016,3,"FE","PSI","SBFI",0.00
2016,3,"FE","PSI","SNF",64504.54
