n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
"LM - Puget-sur-Argens Frejus (magasin 192)";DRIVECO;"LM - Puget-sur-Argens Frejus (magasin 192)";FR*E11*PLMPUGETSURARGENS83480*1;"LM - Puget-sur-Argens Frejus (magasin 192)";"Chemin des Aubrèdes 83480 Puget-sur-Argens";83099;6.692070;43.456799;4;FR*E11*E10255*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Puget-sur-Argens Frejus (magasin 192)";DRIVECO;"LM - Puget-sur-Argens Frejus (magasin 192)";FR*E11*PLMPUGETSURARGENS83480*1;"LM - Puget-sur-Argens Frejus (magasin 192)";"Chemin des Aubrèdes 83480 Puget-sur-Argens";83099;6.692070;43.456799;4;FR*E11*E10255*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Puget-sur-Argens Frejus (magasin 192)";DRIVECO;"LM - Puget-sur-Argens Frejus (magasin 192)";FR*E11*PLMPUGETSURARGENS83480*1;"LM - Puget-sur-Argens Frejus (magasin 192)";"Chemin des Aubrèdes 83480 Puget-sur-Argens";83099;6.692070;43.456799;4;FR*E11*E10256*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Puget-sur-Argens Frejus (magasin 192)";DRIVECO;"LM - Puget-sur-Argens Frejus (magasin 192)";FR*E11*PLMPUGETSURARGENS83480*1;"LM - Puget-sur-Argens Frejus (magasin 192)";"Chemin des Aubrèdes 83480 Puget-sur-Argens";83099;6.692070;43.456799;4;FR*E11*E10256*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"ESSO DES CALANCHES";DRIVECO;"ESSO DES CALANCHES";FR*NRC*PESSOCALANCHES20115*1;"ESSO DES CALANCHES";"Lieu-dit L'Arbagio 20115 PIANA";2A212;8.635240;42.237099;2;FR*NRC*ECUDBTQCESSO120NRC*P1;44.00;Chademo;Payant;"24/24 7/7 jours";;2020/12/15
"ESSO DIGIACOMI et Fils";DRIVECO;"ESSO DIGIACOMI et Fils";FR*NRC*PESSODIGIACOMIETFIL20110*1;"ESSO DIGIACOMI et Fils";"Lieu-dit San Giuseppu 20110 PROPRIANO";2A249;8.913300;41.670601;2;FR*NRC*ECUDBTQCESSO220NRC*P1;44.00;Chademo;Payant;"24/24 7/7 jours";;2020/12/15
"ESSO LE CHALET";DRIVECO;"ESSO LE CHALET";FR*NRC*PESSOLECHALET20600*1;"ESSO LE CHALET";"Avenue Sampiero Corso 20600 BASTIA";2B033;9.444530;42.676498;2;FR*NRC*ECUDBTQCESSO520NRC*P1;44.00;Chademo;Payant;"24/24 7/7 jours";;2020/12/15
"ESSO LE RELAIS CECCALDI";DRIVECO;"ESSO LE RELAIS CECCALDI";FR*NRC*PESSORELAISCECCALDI20090*1;"ESSO LE RELAIS CECCALDI";"Quartier Aspretto RT20 20090 AJACCIO";2A004;8.765360;41.928600;2;FR*NRC*ECUDBTQCESSO720NRC*P1;44.00;Chademo;Payant;"24/24 7/7 jours";;2020/12/15
"ESSO LE RELAIS D'ACQUALONGA";DRIVECO;"ESSO LE RELAIS D'ACQUALONGA";FR*NRC*PESSORELAISACQUALONGA20167*1;"ESSO LE RELAIS D'ACQUALONGA";"Chemin d'Acqualonga 20167 MEZZAVIA";2A004;8.774620;41.952202;2;FR*NRC*ECUDBTQCESSO320NRC*P1;44.00;Chademo;Payant;"24/24 7/7 jours";;2020/12/15
"ESSO LE RELAIS DE LA PLAINE";DRIVECO;"ESSO LE RELAIS DE LA PLAINE";FR*NRC*PESSORELAISLAPLAINE20270*1;"ESSO LE RELAIS DE LA PLAINE";"RT 10 - Cateraghju 20270 ALERIA";2B009;9.513510;42.115200;2;FR*NRC*ECUDBTQCESSO420NRC*P1;44.00;Chademo;Payant;"24/24 7/7 jours";;2020/12/15
"ESSO LE RELAIS DE SAN PEDRONE";DRIVECO;"ESSO LE RELAIS DE SAN PEDRONE";FR*NRC*PESSORELAISSANPEDRONE20218*1;"ESSO LE RELAIS DE SAN PEDRONE";"RT20 20218 PONTE-LECCIA";2B169;9.207080;42.460400;2;FR*NRC*ECUDBTQCESSO620NRC*P1;44.00;Chademo;Payant;"24/24 7/7 jours";;2020/12/15
IDEALJOB;DRIVECO;IDEALJOB;FR*SSD*PIDEALJOB59270*1;IDEALJOB;"9 rue du Houblon 59270 Meteren";59401;2.683878;50.741100;2;FR*SSD*E10271*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
IDEALJOB;DRIVECO;IDEALJOB;FR*SSD*PIDEALJOB59270*1;IDEALJOB;"9 rue du Houblon 59270 Meteren";59401;2.683878;50.741100;2;FR*SSD*E10271*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Niort (magasin 81)";DRIVECO;"LM - Niort (magasin 81)";FR*E11*PLMNIORT79000*1;"LM - Niort (magasin 81)";"463 Avenue de Limoges 79000 Niort";79191;-0.417369;46.317699;4;FR*E11*E10257*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Niort (magasin 81)";DRIVECO;"LM - Niort (magasin 81)";FR*E11*PLMNIORT79000*1;"LM - Niort (magasin 81)";"463 Avenue de Limoges 79000 Niort";79191;-0.417369;46.317699;4;FR*E11*E10257*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Niort (magasin 81)";DRIVECO;"LM - Niort (magasin 81)";FR*E11*PLMNIORT79000*1;"LM - Niort (magasin 81)";"463 Avenue de Limoges 79000 Niort";79191;-0.417369;46.317699;4;FR*E11*E10258*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Niort (magasin 81)";DRIVECO;"LM - Niort (magasin 81)";FR*E11*PLMNIORT79000*1;"LM - Niort (magasin 81)";"463 Avenue de Limoges 79000 Niort";79191;-0.417369;46.317699;4;FR*E11*E10258*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10265*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10265*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10266*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10266*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10267*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10267*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10268*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10268*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10274*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10274*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10275*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10275*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10276*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Albi (magasin 88)";DRIVECO;"LM - Albi (magasin 88)";FR*E11*PLMALBI81000*1;"LM - Albi (magasin 88)";"Rue du Docteur Boussières 81000 ALBI";81004;2.177240;43.937401;14;FR*E11*E10276*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"Hyundai Le Pontet";DRIVECO;"Hyundai Le Pontet";FR*G40*PHYUNDAI84130*1;"Hyundai Le Pontet";"Zone commerciale Avignon Nord 84130 Le Pontet";84092;4.873830;43.977001;2;FR*G40*E10234*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"Hyundai Le Pontet";DRIVECO;"Hyundai Le Pontet";FR*G40*PHYUNDAI84130*1;"Hyundai Le Pontet";"Zone commerciale Avignon Nord 84130 Le Pontet";84092;4.873830;43.977001;2;FR*G40*E10234*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Tourcoing - Neuville-en-Ferrain (magasin 34)";DRIVECO;"LM - Tourcoing - Neuville-en-Ferrain (magasin 34)";FR*E11*PLMTOURCOING59212*1;"LM - Tourcoing - Neuville-en-Ferrain (magasin 34)";"343 Rue de Roncq 59212 Tourcoing";59599;3.137750;50.737801;4;FR*E11*E10277*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Tourcoing - Neuville-en-Ferrain (magasin 34)";DRIVECO;"LM - Tourcoing - Neuville-en-Ferrain (magasin 34)";FR*E11*PLMTOURCOING59212*1;"LM - Tourcoing - Neuville-en-Ferrain (magasin 34)";"343 Rue de Roncq 59212 Tourcoing";59599;3.137750;50.737801;4;FR*E11*E10277*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Tourcoing - Neuville-en-Ferrain (magasin 34)";DRIVECO;"LM - Tourcoing - Neuville-en-Ferrain (magasin 34)";FR*E11*PLMTOURCOING59212*1;"LM - Tourcoing - Neuville-en-Ferrain (magasin 34)";"343 Rue de Roncq 59212 Tourcoing";59599;3.137750;50.737801;4;FR*E11*E10278*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Tourcoing - Neuville-en-Ferrain (magasin 34)";DRIVECO;"LM - Tourcoing - Neuville-en-Ferrain (magasin 34)";FR*E11*PLMTOURCOING59212*1;"LM - Tourcoing - Neuville-en-Ferrain (magasin 34)";"343 Rue de Roncq 59212 Tourcoing";59599;3.137750;50.737801;4;FR*E11*E10278*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"CEETRUS Roncq2";DRIVECO;"CEETRUS Roncq2";FR*SSD*PCEETRUS59656*1;"CEETRUS Roncq2";"Auchan, 1 Route de Roncq 59960 Neuville-en-Ferrain";59426;3.144740;50.741501;4;FR*SSD*E10279*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"CEETRUS Roncq2";DRIVECO;"CEETRUS Roncq2";FR*SSD*PCEETRUS59656*1;"CEETRUS Roncq2";"Auchan, 1 Route de Roncq 59960 Neuville-en-Ferrain";59426;3.144740;50.741501;4;FR*SSD*E10279*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"CEETRUS Roncq2";DRIVECO;"CEETRUS Roncq2";FR*SSD*PCEETRUS59656*1;"CEETRUS Roncq2";"Auchan, 1 Route de Roncq 59960 Neuville-en-Ferrain";59426;3.144740;50.741501;4;FR*SSD*E10280*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"CEETRUS Roncq2";DRIVECO;"CEETRUS Roncq2";FR*SSD*PCEETRUS59656*1;"CEETRUS Roncq2";"Auchan, 1 Route de Roncq 59960 Neuville-en-Ferrain";59426;3.144740;50.741501;4;FR*SSD*E10280*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"CEETRUS Roncq3 Decathlon";DRIVECO;"CEETRUS Roncq3 Decathlon";FR*SSD*PCEETRUS59656*2;"CEETRUS Roncq3 Decathlon";"121 Boulevard de Valmy 59650 Villeneuve-d'Ascq";59009;3.127780;50.616402;2;FR*SSD*E10281*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"CEETRUS Roncq3 Decathlon";DRIVECO;"CEETRUS Roncq3 Decathlon";FR*SSD*PCEETRUS59656*2;"CEETRUS Roncq3 Decathlon";"121 Boulevard de Valmy 59650 Villeneuve-d'Ascq";59009;3.127780;50.616402;2;FR*SSD*E10281*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"CEETRUS Roncq3 Kiabi";DRIVECO;"CEETRUS Roncq3 Kiabi";FR*SSD*PCEETRUS59656*3;"CEETRUS Roncq3 Kiabi";"141 Boulevard de Valmy 59650 Villeneuve-d'Ascq";59009;3.126460;50.617199;2;FR*SSD*E10282*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"CEETRUS Roncq3 Kiabi";DRIVECO;"CEETRUS Roncq3 Kiabi";FR*SSD*PCEETRUS59656*3;"CEETRUS Roncq3 Kiabi";"141 Boulevard de Valmy 59650 Villeneuve-d'Ascq";59009;3.126460;50.617199;2;FR*SSD*E10282*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"CEETRUS Roncq3 Pizza Paï";DRIVECO;"CEETRUS Roncq3 Pizza Paï";FR*SSD*PCEETRUS59656*4;"CEETRUS Roncq3 Pizza Paï";"Rue du Ventoux 59650 Villeneuve-d'Ascq";59009;3.129610;50.618301;4;FR*SSD*E10283*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"CEETRUS Roncq3 Pizza Paï";DRIVECO;"CEETRUS Roncq3 Pizza Paï";FR*SSD*PCEETRUS59656*4;"CEETRUS Roncq3 Pizza Paï";"Rue du Ventoux 59650 Villeneuve-d'Ascq";59009;3.129610;50.618301;4;FR*SSD*E10283*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"CEETRUS Roncq3 Pizza Paï";DRIVECO;"CEETRUS Roncq3 Pizza Paï";FR*SSD*PCEETRUS59656*4;"CEETRUS Roncq3 Pizza Paï";"Rue du Ventoux 59650 Villeneuve-d'Ascq";59009;3.129610;50.618301;4;FR*SSD*E10284*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"CEETRUS Roncq3 Pizza Paï";DRIVECO;"CEETRUS Roncq3 Pizza Paï";FR*SSD*PCEETRUS59656*4;"CEETRUS Roncq3 Pizza Paï";"Rue du Ventoux 59650 Villeneuve-d'Ascq";59009;3.129610;50.618301;4;FR*SSD*E10284*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"JLR - GRIM - Valence";DRIVECO;"JLR - GRIM - Valence";FR*G41*PJLRGRIMVALENCE26000*1;"JLR - GRIM - Valence";"Avenue de Chabeuil  26000 Valence";26362;4.935003;44.922329;7;FR*G41*E10285*P1;7.36;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"JLR - GRIM - Valence";DRIVECO;"JLR - GRIM - Valence";FR*G41*PJLRGRIMVALENCE26000*1;"JLR - GRIM - Valence";"Avenue de Chabeuil  26000 Valence";26362;4.935003;44.922329;7;FR*G41*E10285*P2;7.36;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"JLR - GRIM - Valence";DRIVECO;"JLR - GRIM - Valence";FR*G41*PJLRGRIMVALENCE26000*1;"JLR - GRIM - Valence";"Avenue de Chabeuil  26000 Valence";26362;4.935003;44.922329;7;FR*G41*E10286*P1;7.36;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"JLR - GRIM - Valence";DRIVECO;"JLR - GRIM - Valence";FR*G41*PJLRGRIMVALENCE26000*1;"JLR - GRIM - Valence";"Avenue de Chabeuil  26000 Valence";26362;4.935003;44.922329;7;FR*G41*E10286*P2;7.36;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"Farges - Manoir";DRIVECO;"Farges - Manoir";FR*SSD*PFARGESMANOIR50270*1;"Farges - Manoir";"Manoir au 38 Route du Brisay 50270 Surtainville";50585;-1.812899;49.455166;1;FR*SSD*E19171419*P1;7.36;T2;Payant;"24/24 7/7 jours";;2020/12/15
"GHP - Ducati";DRIVECO;"GHP - Ducati";FR*SSD*PGHP97232*1;"GHP - Ducati";"6 Habitation la Trompeuse 97232 Le Lamentin";97213;-61.033127;14.614933;2;FR*SSD*E10287*P1;7.36;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"GHP - Ducati";DRIVECO;"GHP - Ducati";FR*SSD*PGHP97232*1;"GHP - Ducati";"6 Habitation la Trompeuse 97232 Le Lamentin";97213;-61.033127;14.614933;2;FR*SSD*E10287*P2;7.36;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"Géant Casino Furiani";DRIVECO;"Géant Casino Furiani";FR*SSD*PCORINASSETMANAGEMENT*2;"Géant Casino Furiani";"1 Route du Village 20600 Furiani";2B120;9.439093;42.657354;2;FR*SSD*E10289*P1;7.36;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"Géant Casino Furiani";DRIVECO;"Géant Casino Furiani";FR*SSD*PCORINASSETMANAGEMENT*2;"Géant Casino Furiani";"1 Route du Village 20600 Furiani";2B120;9.439093;42.657354;2;FR*SSD*E10289*P2;7.36;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"IBIS Mont St Michel (Tesla)";DRIVECO;"IBIS Mont St Michel (Tesla)";FR*SSD*PIBIS35610*1;"IBIS Mont St Michel (Tesla)";"Za Le Point du Jour 35610 Saint-Georges-de-Gréhaigne";35270;-1.542070;48.569000;2;FR*SSD*E10290*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"IBIS Mont St Michel (Tesla)";DRIVECO;"IBIS Mont St Michel (Tesla)";FR*SSD*PIBIS35610*1;"IBIS Mont St Michel (Tesla)";"Za Le Point du Jour 35610 Saint-Georges-de-Gréhaigne";35270;-1.542070;48.569000;2;FR*SSD*E10290*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"Norauto Faches";DRIVECO;"Norauto Faches";FR*SSD*PNORAUTO59155*1;"Norauto Faches";"Rue de l'Egalité 59155 Faches-Thumesnil";59220;3.083750;50.585201;3;FR*SSD*E10291*P1;22.08;"T2, EF";Payant;"24/24 7/7 jours";;2020/12/15
"Norauto Faches";DRIVECO;"Norauto Faches";FR*SSD*PNORAUTO59155*1;"Norauto Faches";"Rue de l'Egalité 59155 Faches-Thumesnil";59220;3.083750;50.585201;3;FR*SSD*E10291*P2;22.08;T2;Payant;"24/24 7/7 jours";;2020/12/15
"LM - Reau";DRIVECO;"LM - Reau";FR*E11*PLMREAU77550*1;"LM - Reau";"2000 Rue Denis Papin 77550 Réau";77384;2.607620;48.613602;4;FR*E11*E10293*P1;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Reau";DRIVECO;"LM - Reau";FR*E11*PLMREAU77550*1;"LM - Reau";"2000 Rue Denis Papin 77550 Réau";77384;2.607620;48.613602;4;FR*E11*E10293*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Reau";DRIVECO;"LM - Reau";FR*E11*PLMREAU77550*1;"LM - Reau";"2000 Rue Denis Papin 77550 Réau";77384;2.607620;48.613602;4;FR*E11*E10294*P1;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Reau";DRIVECO;"LM - Reau";FR*E11*PLMREAU77550*1;"LM - Reau";"2000 Rue Denis Papin 77550 Réau";77384;2.607620;48.613602;4;FR*E11*E10294*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Biganos (magasin 173)";DRIVECO;"LM - Biganos (magasin 173)";FR*E11*PLMBIGANOS33380*1;"LM - Biganos (magasin 173)";"1 Moulin de la Cassadote 33380 Biganos";33051;-0.948787;44.641162;4;FR*E11*E10295*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Biganos (magasin 173)";DRIVECO;"LM - Biganos (magasin 173)";FR*E11*PLMBIGANOS33380*1;"LM - Biganos (magasin 173)";"1 Moulin de la Cassadote 33380 Biganos";33051;-0.948787;44.641162;4;FR*E11*E10295*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Biganos (magasin 173)";DRIVECO;"LM - Biganos (magasin 173)";FR*E11*PLMBIGANOS33380*1;"LM - Biganos (magasin 173)";"1 Moulin de la Cassadote 33380 Biganos";33051;-0.948787;44.641162;4;FR*E11*E10296*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Biganos (magasin 173)";DRIVECO;"LM - Biganos (magasin 173)";FR*E11*PLMBIGANOS33380*1;"LM - Biganos (magasin 173)";"1 Moulin de la Cassadote 33380 Biganos";33051;-0.948787;44.641162;4;FR*E11*E10296*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"McDonald's Takheos Onet";DRIVECO;"McDonald's Takheos Onet";FR*G22*PMCDONALDSONET12850*1;"McDonald's Takheos Onet";"Route d'Espallion Parc Commercial Saint-Marc 12850 Onet-le-Château";12176;2.593360;44.372799;2;FR*G22*E10297*P1;22.08;"T2, EF";Payant;"24/24 7/7 jours";;2020/12/15
"McDonald's Takheos Onet";DRIVECO;"McDonald's Takheos Onet";FR*G22*PMCDONALDSONET12850*1;"McDonald's Takheos Onet";"Route d'Espallion Parc Commercial Saint-Marc 12850 Onet-le-Château";12176;2.593360;44.372799;2;FR*G22*E10297*P2;22.08;T2;Payant;"24/24 7/7 jours";;2020/12/15
"ESSO DES CALANCHES";DRIVECO;"ESSO DES CALANCHES";FR*NRC*PESSOCALANCHES20115*1;"ESSO DES CALANCHES";"Lieu-dit L'Arbagio 20115 PIANA";2A212;8.635240;42.237099;2;FR*NRC*ECUDBTQCESSO120NRC*P2;43.00;T2P;Payant;"24/24 7/7 jours";;2020/12/15
"ESSO DIGIACOMI et Fils";DRIVECO;"ESSO DIGIACOMI et Fils";FR*NRC*PESSODIGIACOMIETFIL20110*1;"ESSO DIGIACOMI et Fils";"Lieu-dit San Giuseppu 20110 PROPRIANO";2A249;8.913300;41.670601;2;FR*NRC*ECUDBTQCESSO220NRC*P2;43.00;T2P;Payant;"24/24 7/7 jours";;2020/12/15
"ESSO LE CHALET";DRIVECO;"ESSO LE CHALET";FR*NRC*PESSOLECHALET20600*1;"ESSO LE CHALET";"Avenue Sampiero Corso 20600 BASTIA";2B033;9.444530;42.676498;2;FR*NRC*ECUDBTQCESSO520NRC*P2;43.00;T2P;Payant;"24/24 7/7 jours";;2020/12/15
"ESSO LE RELAIS CECCALDI";DRIVECO;"ESSO LE RELAIS CECCALDI";FR*NRC*PESSORELAISCECCALDI20090*1;"ESSO LE RELAIS CECCALDI";"Quartier Aspretto RT20 20090 AJACCIO";2A004;8.765360;41.928600;2;FR*NRC*ECUDBTQCESSO720NRC*P2;43.00;T2P;Payant;"24/24 7/7 jours";;2020/12/15
"ESSO LE RELAIS D'ACQUALONGA";DRIVECO;"ESSO LE RELAIS D'ACQUALONGA";FR*NRC*PESSORELAISACQUALONGA20167*1;"ESSO LE RELAIS D'ACQUALONGA";"Chemin d'Acqualonga 20167 MEZZAVIA";2A004;8.774620;41.952202;2;FR*NRC*ECUDBTQCESSO320NRC*P2;43.00;T2P;Payant;"24/24 7/7 jours";;2020/12/15
"ESSO LE RELAIS DE LA PLAINE";DRIVECO;"ESSO LE RELAIS DE LA PLAINE";FR*NRC*PESSORELAISLAPLAINE20270*1;"ESSO LE RELAIS DE LA PLAINE";"RT 10 - Cateraghju 20270 ALERIA";2B009;9.513510;42.115200;2;FR*NRC*ECUDBTQCESSO420NRC*P2;43.00;T2P;Payant;"24/24 7/7 jours";;2020/12/15
"ESSO LE RELAIS DE SAN PEDRONE";DRIVECO;"ESSO LE RELAIS DE SAN PEDRONE";FR*NRC*PESSORELAISSANPEDRONE20218*1;"ESSO LE RELAIS DE SAN PEDRONE";"RT20 20218 PONTE-LECCIA";2B169;9.207080;42.460400;2;FR*NRC*ECUDBTQCESSO620NRC*P2;43.00;T2P;Payant;"24/24 7/7 jours";;2020/12/15
"SEPRIC Champagne Mont d'Or";DRIVECO;"SEPRIC Champagne Mont d'Or";FR*SSD*PSEPRIC69009*1;"SEPRIC Champagne Mont d'Or";"Chemin de l'Époux 69410 Champagne-au-Mont-d'Or";69040;4.781187;45.803822;4;FR*SSD*E10328*P1;22.08;"T2, EF";Payant;"24/24 7/7 jours";;2020/12/15
"SEPRIC Champagne Mont d'Or";DRIVECO;"SEPRIC Champagne Mont d'Or";FR*SSD*PSEPRIC69009*1;"SEPRIC Champagne Mont d'Or";"Chemin de l'Époux 69410 Champagne-au-Mont-d'Or";69040;4.781187;45.803822;4;FR*SSD*E10328*P2;22.08;T2;Payant;"24/24 7/7 jours";;2020/12/15
"SEPRIC Champagne Mont d'Or";DRIVECO;"SEPRIC Champagne Mont d'Or";FR*SSD*PSEPRIC69009*1;"SEPRIC Champagne Mont d'Or";"Chemin de l'Époux 69410 Champagne-au-Mont-d'Or";69040;4.781187;45.803822;4;FR*SSD*E10329*P1;22.08;"T2, EF";Payant;"24/24 7/7 jours";;2020/12/15
"SEPRIC Champagne Mont d'Or";DRIVECO;"SEPRIC Champagne Mont d'Or";FR*SSD*PSEPRIC69009*1;"SEPRIC Champagne Mont d'Or";"Chemin de l'Époux 69410 Champagne-au-Mont-d'Or";69040;4.781187;45.803822;4;FR*SSD*E10329*P2;22.08;T2;Payant;"24/24 7/7 jours";;2020/12/15
